Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
358,Jaden McDaniels,PF,21,MIN,62,27,26,3.6,8,0.451,1.2,3.7,0.313,2.5,4.3,0.569,0.523,0.8,1,0.781,1.1,3.1,4.2,1.2,0.8,0.7,1.1,3.3,9.2
359,Jalen McDaniels,SF,24,CHO,39,2,17.6,2.5,5.1,0.492,0.8,2.2,0.372,1.7,2.8,0.586,0.574,0.8,1.2,0.674,0.7,2.7,3.5,1.1,0.5,0.4,0.8,1.8,6.6
360,Doug McDermott,PF,30,SAS,48,48,24.4,4.3,9.4,0.462,2.2,5.1,0.427,2.1,4.3,0.505,0.579,0.7,0.9,0.791,0.4,2,2.4,1.3,0.3,0.1,0.8,1.6,11.6
361,JaVale McGee,C,34,PHO,58,14,15.7,4,6.3,0.64,0,0.1,0.286,4,6.2,0.647,0.643,1.3,1.9,0.688,2.2,4.5,6.7,0.6,0.3,1.1,1.3,2.4,9.4
362,Cameron McGriff,SF,24,POR,3,0,15.3,1.7,4.7,0.357,0.7,2,0.333,1,2.7,0.375,0.429,0.7,0.7,1,2,3,5,1,0,0.3,0,2.3,4.7
363,Rodney McGruder,SG,30,DET,39,1,13.6,1.7,3.8,0.449,1,2.4,0.413,0.7,1.4,0.509,0.578,0.3,0.4,0.714,0.5,1.4,1.9,0.8,0.4,0.1,0.4,1,4.6
364,Alfonzo McKinnie,SF,29,CHI,17,3,12.1,1.4,3.6,0.393,0.5,1.6,0.333,0.9,2,0.441,0.467,0.1,0.5,0.25,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5
365,JaQuori McLaughlin,PG,24,DAL,4,0,2.8,0,0.5,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0.5,0,0,0,0.3,0
366,Jordan McLaughlin,PG,25,MIN,47,3,13.4,1.1,3,0.374,0.3,1.1,0.222,0.9,1.8,0.471,0.417,0.5,0.7,0.742,0.3,1.2,1.5,2.8,0.9,0.1,0.5,0.7,3
367,Ben McLemore,SG,28,POR,46,6,19,3,7.7,0.385,2.2,6.1,0.364,0.7,1.6,0.466,0.53,0.8,1,0.818,0.2,1.3,1.6,0.9,0.4,0.1,0.7,1.5,8.9
368,De'Anthony Melton,SG,23,MEM,57,13,22.7,3.5,9.2,0.385,1.6,4.6,0.337,2,4.6,0.433,0.47,1.2,1.6,0.728,1,3.6,4.6,2.7,1.6,0.5,1.4,1.7,9.8
369,Sam Merrill,SG,25,MEM,6,0,9.7,1.3,4,0.333,1.2,3.8,0.304,0.2,0.2,1,0.479,0.3,0.7,0.5,0.2,1,1.2,0.7,0,0,0.3,0.5,4.2
370,Chimezie Metu,C,24,SAC,45,20,21.1,3.2,7.4,0.434,0.9,3.2,0.283,2.3,4.2,0.55,0.496,1.1,1.5,0.773,0.6,5,5.6,1.1,0.8,0.5,0.9,1.4,8.5
371,Khris Middleton,SF,30,MIL,53,53,32.4,6.8,15.3,0.446,2.4,6.5,0.365,4.5,8.9,0.504,0.523,4.1,4.7,0.887,0.7,4.8,5.5,5.2,1.1,0.2,2.9,2.5,20.2
372,C.J. Miles,SG,34,BOS,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
373,Patty Mills,PG,33,BRK,64,44,30.4,4.4,10.6,0.417,3,7.3,0.414,1.4,3.3,0.425,0.559,0.7,0.8,0.811,0.2,1.8,2.1,2.5,0.7,0.3,1,1.4,12.6
374,Paul Millsap,PF,36,TOT,31,0,11.1,1.4,3.5,0.394,0.3,1.1,0.235,1.1,2.4,0.467,0.431,0.5,0.7,0.696,1.3,2.3,3.5,0.9,0.3,0.4,0.5,2,3.5
374,Paul Millsap,PF,36,BRK,24,0,11.3,1.3,3.5,0.376,0.3,1.1,0.222,1.1,2.4,0.448,0.412,0.5,0.7,0.706,1.2,2.5,3.7,1,0.2,0.5,0.5,2,3.4
374,Paul Millsap,PF,36,PHI,7,0,10.4,1.6,3.4,0.458,0.3,1,0.286,1.3,2.4,0.529,0.5,0.6,0.9,0.667,1.6,1.4,3,0.6,0.4,0.1,0.9,1.9,4
375,Shake Milton,PG,25,PHI,36,6,23.3,3.6,8.5,0.42,0.8,2.6,0.287,2.8,5.9,0.479,0.464,1.4,1.6,0.862,0.6,2.4,3,2.6,0.6,0.4,1.1,2,9.3
376,Davion Mitchell,PG,23,SAC,59,8,25.6,4.1,10.3,0.4,1.3,4.2,0.308,2.8,6.1,0.464,0.463,0.5,0.8,0.587,0.5,1.7,2.2,3.3,0.7,0.3,1.2,1.8,9.9
377,Donovan Mitchell,SG,25,UTA,51,51,33.6,9.3,20.3,0.455,3.5,9.7,0.358,5.8,10.6,0.544,0.541,3.9,4.5,0.849,0.9,3.2,4,5.3,1.6,0.2,3,2.5,25.8
378,Evan Mobley,PF,20,CLE,56,56,34.1,5.9,11.9,0.499,0.4,1.4,0.26,5.6,10.5,0.531,0.514,2.4,3.6,0.67,2,6.2,8.2,2.6,0.8,1.7,2,2.2,14.6
379,Malik Monk,SG,23,LAL,57,22,27.3,4.6,10.1,0.462,2.2,5.6,0.395,2.4,4.5,0.545,0.571,1.2,1.5,0.767,0.5,2.9,3.3,2.6,0.8,0.4,1.4,1.6,12.7
380,Greg Monroe,C,31,TOT,10,0,15.1,2.4,4.4,0.545,0,0,0,2.4,4.4,0.545,0.545,0.7,1.4,0.5,2.3,2.9,5.2,1.4,0.6,0.7,0.9,1.6,5.5
380,Greg Monroe,C,31,MIN,3,0,21,3,4.7,0.643,0,0,0,3,4.7,0.643,0.643,0.7,1.7,0.4,1.7,5.3,7,3.7,0.7,1.3,1.3,2.3,6.7
380,Greg Monroe,C,31,WAS,2,0,9,2,4,0.5,0,0,0,2,4,0.5,0.5,0,0,0,3.5,1.5,5,0.5,0.5,0.5,1,1,4
380,Greg Monroe,C,31,MIL,5,0,14,2.2,4.4,0.5,0,0,0,2.2,4.4,0.5,0.5,1,1.8,0.556,2.2,2,4.2,0.4,0.6,0.4,0.6,1.4,5.4
381,Moses Moody,SG,19,GSW,39,6,10.3,1.3,3.1,0.426,0.7,1.9,0.347,0.7,1.2,0.553,0.533,0.5,0.6,0.75,0.3,1.1,1.4,0.4,0.1,0.2,0.2,0.6,3.8
382,Xavier Moon,SG,27,LAC,6,0,13.8,2.3,5.7,0.412,0.5,1.7,0.3,1.8,4,0.458,0.456,0.3,0.5,0.667,0.2,1.3,1.5,1.7,0.8,0.2,0.5,0.7,5.5
383,Matt Mooney,SG,24,NYK,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
384,Ja Morant,PG,22,MEM,52,52,33.3,10.3,20.8,0.494,1.6,4.7,0.343,8.7,16.1,0.538,0.532,5.5,7.3,0.761,1.3,4.4,5.8,6.6,1.2,0.4,3.4,1.5,27.6
385,Juwan Morgan,PF,24,TOR,1,0,27,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,0,2,2,4,1,0,0,0,3,5
386,Jaylen Morris,SG,26,SAS,3,0,5.3,0,2,0,0,0.7,0,0,1.3,0,0,0.7,1.3,0.5,0,0.7,0.7,0.7,0,0,0.3,0.7,0.7
387,Marcus Morris,PF,32,LAC,41,41,29.5,5.7,13.1,0.434,2,5.2,0.391,3.6,7.9,0.463,0.512,2.2,2.6,0.86,0.5,4,4.5,2.1,0.6,0.3,1.3,2.3,15.7
388,Markieff Morris,PF,32,MIA,10,0,18.7,3.2,7,0.457,0.8,2.2,0.364,2.4,4.8,0.5,0.514,0.5,0.5,1,1.3,1.5,2.8,1.4,0.3,0.1,1.2,2.2,7.7
389,Monte Morris,PG,26,DEN,58,57,29.9,5.1,10.6,0.479,1.7,4.3,0.386,3.4,6.3,0.542,0.558,0.9,1,0.867,0.4,2.6,2.9,4.3,0.7,0.2,1,1.2,12.7
390,Emmanuel Mudiay,PG,25,SAC,2,0,5.5,0,1,0,0,0,0,0,1,0,0,1.5,2,0.75,0,0,0,2,0.5,0,0.5,0.5,1.5
391,Mychal Mulder,PG,27,ORL,15,2,13,1.3,4.5,0.299,0.9,3.1,0.283,0.5,1.4,0.333,0.396,0.1,0.1,1,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,3.7
392,Ade Murkey,SG,24,SAC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,Trey Murphy III,SF,21,NOP,45,0,11.8,1.2,3.5,0.34,0.9,2.5,0.345,0.3,1,0.326,0.465,0.5,0.6,0.857,0.6,1.4,2,0.5,0.3,0.1,0.3,0.9,3.8
